id,content_type_id,codename,name
1,1,add_logentry,Can add log entry
2,1,change_logentry,Can change log entry
3,1,delete_logentry,Can delete log entry
4,1,view_logentry,Can view log entry
5,2,add_permission,Can add permission
6,2,change_permission,Can change permission
7,2,delete_permission,Can delete permission
8,2,view_permission,Can view permission
9,3,add_group,Can add group
10,3,change_group,Can change group
11,3,delete_group,Can delete group
12,3,view_group,Can view group
13,4,add_user,Can add user
14,4,change_user,Can change user
15,4,delete_user,Can delete user
16,4,view_user,Can view user
17,5,add_contenttype,Can add content type
18,5,change_contenttype,Can change content type
19,5,delete_contenttype,Can delete content type
20,5,view_contenttype,Can view content type
21,6,add_session,Can add session
22,6,change_session,Can change session
23,6,delete_session,Can delete session
24,6,view_session,Can view session
25,7,add_material,Can add material
26,7,change_material,Can change material
27,7,delete_material,Can delete material
28,7,view_material,Can view material
29,8,add_question,Can add question
30,8,change_question,Can change question
31,8,delete_question,Can delete question
32,8,view_question,Can view question
33,9,add_exam,Can add exam
34,9,change_exam,Can change exam
35,9,delete_exam,Can delete exam
36,9,view_exam,Can view exam
37,10,add_profile,Can add profile
38,10,change_profile,Can change profile
39,10,delete_profile,Can delete profile
40,10,view_profile,Can view profile
41,11,add_examtemplate,Can add exam template
42,11,change_examtemplate,Can change exam template
43,11,delete_examtemplate,Can delete exam template
44,11,view_examtemplate,Can view exam template
45,12,add_subject,Can add Subject
46,12,change_subject,Can change Subject
47,12,delete_subject,Can delete Subject
48,12,view_subject,Can view Subject
49,13,add_subtopic,Can add subtopic
50,13,change_subtopic,Can change subtopic
51,13,delete_subtopic,Can delete subtopic
52,13,view_subtopic,Can view subtopic
53,14,add_topic,Can add topic
54,14,change_topic,Can change topic
55,14,delete_topic,Can delete topic
56,14,view_topic,Can view topic
